visibility,dt,id,name,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,weather_id,weather_main,weather_description,weather_icon,wind.gust,rain.1h,main.sea_level,main.grnd_level
10000,2023-07-27 20:07:06,2643743,London,-0.1257,51.5085,18.42,18.69,16.86,19.44,1006,91,4.12,250,40,2.0,2019646.0,GB,1690517856,1690574170,802,Clouds,scattered clouds,03n,,,,
10000,2023-07-27 20:01:30,5128581,New York,-74.006,40.7143,31.5,34.88,26.75,33.0,1012,56,6.17,260,40,1.0,5141.0,US,1690451258,1690503431,802,Clouds,scattered clouds,03d,,,,
10000,2023-07-27 19:57:58,3860259,Córdoba,-64.1811,-31.4135,14.3,12.83,8.88,15.98,994,40,3.09,50,0,2.0,2036678.0,AR,1690456088,1690493885,800,Clear,clear sky,01n,,,,
10000,2023-07-27 20:09:45,1668341,Taipei,121.5319,25.0478,29.52,32.3,28.04,30.03,994,62,12.86,100,75,2.0,266033.0,TW,1690492740,1690540891,501,Rain,moderate rain,10d,18.01,1.78,,
10000,2023-07-27 20:00:02,3435910,Buenos Aires,-58.3772,-34.6132,10.82,9.89,9.43,11.64,1024,74,9.39,100,100,2.0,2084248.0,AR,1690455076,1690492111,804,Clouds,overcast clouds,04n,0.0,,,
10000,2023-07-27 20:01:41,3530597,Mexico City,-99.1277,19.4285,15.53,15.15,15.53,16.17,1029,77,2.68,260,100,2.0,47729.0,MX,1690459853,1690506895,500,Rain,light rain,10d,,0.25,,
10000,2023-07-27 20:07:48,5344157,Dublin,-121.9358,37.7021,24.55,24.16,14.01,33.47,1015,42,8.75,290,0,2.0,2016191.0,US,1690463221,1690514474,800,Clear,clear sky,01d,11.32,,,
10000,2023-07-27 20:02:17,611717,Tbilisi,44.8337,41.6941,24.84,25.08,24.84,24.84,1010,65,3.09,50,20,1.0,8862.0,GE,1690509017,1690561428,801,Clouds,few clouds,02n,,,,
10000,2023-07-27 19:58:08,3688689,Bogota,-74.0817,4.6097,17.73,17.1,17.73,17.73,1026,59,3.09,90,75,1.0,8582.0,CO,1690455164,1690499561,803,Clouds,broken clouds,04d,,,,
10000,2023-07-27 20:00:00,1850147,Tokyo,139.6917,35.6895,30.72,37.14,28.7,32.53,1014,71,6.17,190,20,2.0,268105.0,JP,1690487123,1690537791,801,Clouds,few clouds,02d,,,,
10000,2023-07-27 20:01:46,1140043,Helmand Province,64.0,31.0,30.78,28.85,30.78,30.78,996,19,4.27,188,0,,,AF,1690505890,1690555356,800,Clear,clear sky,01n,5.0,,996.0,919.0
10000,2023-07-27 20:01:47,5119232,Great River,-73.0,40.0,26.38,26.38,26.38,26.38,1014,86,12.54,209,64,,,US,1690451128,1690503078,803,Clouds,broken clouds,04d,18.7,,1014.0,1014.0
10000,2023-07-27 20:01:49,3860801,Colonia Caroya,-64.0,-31.0,10.55,8.94,10.55,10.55,1021,49,1.67,12,4,,,AR,1690455997,1690493889,800,Clear,clear sky,01n,1.7,,1021.0,968.0
10000,2023-07-27 20:01:50,1168312,Pasni,64.0,25.0,27.78,31.99,27.78,27.78,1002,83,6.73,255,100,,,PK,1690506557,1690554689,804,Clouds,overcast clouds,04n,7.2,,1002.0,1002.0
10000,2023-07-27 20:01:51,3441442,Ombues de Lavalle,-58.0,-34.0,8.18,6.49,8.18,8.18,1023,72,2.75,107,100,,,UY,1690454911,1690492096,804,Clouds,overcast clouds,04n,4.6,,1023.0,1015.0
10000,2023-07-27 20:01:52,3515434,Tlalnepantla,-99.0,19.0,20.32,20.6,16.99,20.33,1017,84,2.43,348,100,2.0,2027418.0,MX,1690459863,1690506823,804,Clouds,overcast clouds,04d,3.4,,1017.0,807.0
10000,2023-07-27 20:01:53,2746304,Tijnje,6.0,53.0,18.06,18.43,17.77,18.34,1002,96,4.73,243,100,2.0,2001318.0,NL,1690515997,1690573089,804,Clouds,overcast clouds,04n,8.8,,1002.0,1002.0
10000,2023-07-27 20:01:55,616971,Amasia,44.0,41.0,12.13,11.75,12.13,12.13,1013,90,2.35,35,2,1.0,8847.0,AM,1690509329,1690561517,800,Clear,clear sky,01n,2.1,,1013.0,763.0
10000,2023-07-27 20:01:56,1282027,Malé,74.0,4.0,27.88,30.69,27.88,27.88,1011,72,1.21,312,89,,,MV,1690506078,1690550367,804,Clouds,overcast clouds,04n,1.3,,1011.0,1011.0
10000,2023-07-27 20:01:57,1851632,Shuzenji,139.0,35.0,28.33,31.02,28.33,28.33,1017,68,0.29,192,51,,,JP,1690487381,1690537865,803,Clouds,broken clouds,04d,0.3,,1017.0,990.0
